Date,Close Price,Positive,Neutral,Negative
2018-04-06,6636.319824,284,1215,56
2018-04-07,6911.089844,501,195,2
2018-04-08,7023.52002,0,667,20
2018-04-09,6770.72998,1118,529,0
2018-04-10,6834.759766,349,368,235
2018-04-11,6968.319824,510,194,220
2018-04-12,7889.25,523,429,221
2018-04-13,7895.959961,970,413,13
2018-04-14,7986.240234,36,71,14
2018-04-15,8329.110352,70,29,230
2018-04-16,8058.669922,113,199,36
2018-04-17,7902.089844,208,237,0
2018-04-18,8163.419922,186,300,266
2018-04-19,8294.30957,360,190,0
2018-04-20,8845.830078,708,322,391
2018-04-21,8895.580078,0,0,25
2018-04-23,8930.879883,502,582,30
2018-04-24,9697.5,264,872,140
2018-04-25,8845.740234,76,301,116
2018-04-26,9281.509766,365,465,272
2018-04-27,8987.049805,415,19,44
2018-04-28,9348.480469,191,50,0
2018-04-29,9419.080078,326,126,0
2018-04-30,9240.549805,169,52,107
2018-05-01,9119.009766,62,9,138
2018-05-02,9235.919922,543,317,80
2018-05-03,9743.860352,164,254,637
2018-05-04,9700.759766,452,306,52
2018-05-06,9654.799805,0,70,2
2018-05-07,9373.009766,483,191,61
2018-05-08,9234.820313,272,394,52
2018-05-09,9325.179688,304,378,0
2018-05-10,9043.94043,412,251,75
2018-05-11,8441.490234,136,220,61
2018-05-12,8504.889648,29,0,0
2018-05-13,8723.94043,158,55,15
2018-05-14,8716.790039,302,929,78
2018-05-15,8510.379883,332,69,175
2018-05-16,8368.830078,473,745,180
2018-05-17,8094.319824,457,220,20
2018-05-18,8250.969727,132,240,76
2018-05-19,8247.179688,94,23,0
2018-05-20,8513.25,103,27,0
2018-05-21,8418.990234,239,64,19
2018-05-22,8041.779785,44,253,0
2018-05-23,7557.819824,77,365,46
2018-05-24,7587.339844,153,85,1376
2018-05-25,7480.140137,342,66,88
2018-05-26,7355.879883,163,250,41
2018-05-27,7368.220215,137,30,0
2018-05-28,7135.990234,400,48,187
2018-05-29,7472.589844,504,861,253
2018-05-30,7406.52002,97,372,150
2018-05-31,7494.169922,43470,249,95
2018-06-01,7541.450195,527,541,1652
2018-06-02,7643.450195,94,1925,0
2018-06-03,7720.25,139,42,4
2018-06-04,7514.470215,171,230,101
2018-06-05,7633.759766,1373,49,0
2018-06-06,7653.97998,330,436,21
2018-06-07,7678.240234,111,502,127
2018-06-08,7624.919922,23,108,0
2018-06-09,7531.97998,13,28,0
2018-06-10,6786.02002,336,574,28
2018-06-11,6906.919922,136,957,93
2018-06-12,6582.359863,94,364,35
2018-06-13,6349.899902,236,359,0
2018-06-14,6675.350098,576,206,284
2018-06-15,6456.580078,71,0,52
2018-06-17,6499.27002,142,16,0
2018-06-18,6734.819824,187,360,238
2018-06-19,6769.939941,817,80,61
2018-06-20,6776.549805,130,369,126
2018-06-21,6729.740234,187,0,0
2018-06-22,6083.689941,336,160,104
2018-06-24,6173.22998,52,103,0
2018-06-25,6249.180176,388,56,0
2018-06-26,6093.669922,1506,234,0
2018-06-27,6157.129883,490,1087,165
2018-06-28,5903.439941,213,190,0
2018-06-29,6218.299805,681,414,70
2018-06-30,6404.0,162,17,0
2018-07-01,6385.819824,238,39,0
2018-07-02,6614.180176,671,394,201
2018-07-03,6529.589844,120,0,92
2018-07-04,6597.549805,218,79,0
2018-07-05,6639.140137,97,642,0
2018-07-06,6673.5,172,191,0
2018-07-07,6856.930176,28,2,95
2018-07-08,6773.879883,7,0,0
2018-07-09,6741.75,233,403,93
2018-07-10,6329.950195,116,213,0
2018-07-11,6394.709961,0,264,0
2018-07-12,6228.810059,214,341,0
2018-07-13,6238.049805,0,257,0
2018-07-15,6359.640137,221,575,0
2018-07-16,6741.75,623,843,121
2018-07-17,7321.040039,356,610,146
2018-07-18,7370.779785,177,734,0
2018-07-19,7466.859863,112,112,43
2018-07-20,7354.129883,108,35,0
2018-07-23,7711.109863,50,241,149
2018-07-24,8424.269531,517,369,42
2018-07-25,8181.390137,160,241,4
2018-07-26,7951.580078,271,228,104
2018-07-27,8165.009766,132,655,24
2018-07-28,8192.150391,137,40,0
2018-07-29,8218.459961,338,19,40
2018-07-30,8180.47998,97,19,20
2018-07-31,7780.439941,11,340,21
2018-08-01,7624.910156,174,71,31
